"target_function","core_scope","unique_ioctls_calling_this","ioctl_list","file"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","venc.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_jpeg.c"
"user_flags","2_SubSystem",4,"v4l_qbuf, v4l_query_ext_ctrl, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-priv.h"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","meson-ir.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","gsc-core.c"
"vb2_vmalloc_num_users","2_SubSystem",4,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs","videobuf2-vmalloc.c"
"dma_sync_sgtable_for_cpu","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","dma-mapping.h"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-csiphy.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","core.h"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","imx8-isi-video.c"
"clamp_roundup","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"v4l2_format_block_width","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"dma_free_attrs","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","dma-mapping.h"
"media_request_object_complete","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","mc-request.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","rcar_fdp1.c"
"v4l2_format_block_height","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","mtk_vcodec_dec_drv.c"
"atomic_read","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","atomic-instrumented.h"
"atomic_dec","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","atomic-instrumented.h"
"IS_ERR","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_stub_expbuf","err.h"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-vfe.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","wave5-hw.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","mtk_vcodec_enc.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","vdec.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","vdec_vp9_req_lat_if.c"
"v4l2_fill_pixfmt_mp","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"v4l2_apply_frmsize_constraints","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"v4l2_format_info","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","venc.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_jpeg.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","meson-ir.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","gsc-core.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-csiphy.c"
"v4l2_m2m_buf_done","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_mark_stopped","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_last_buffer_done","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-mem2mem.c"
"v4l2_m2m_src_buf_remove","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-mem2mem.h"
"v4l2_m2m_dst_buf_remove","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-mem2mem.h"
"vb2_get_num_buffers","2_SubSystem",3,"v4l_qbuf, v4l_reqbufs, v4l_streamon","videobuf2-core.h"
"send_event","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"hantro_av1_s_ctrl","1_Driver",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_av1_s_ctrl","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"fill_event","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"hantro_hevc_s_ctrl","1_Driver",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_hevc_s_ctrl","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_vp9_s_ctrl","1_Driver",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_vp9_s_ctrl","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_jpeg_s_ctrl","1_Driver",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_jpeg_s_ctrl","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"hantro_try_ctrl","1_Driver",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"new_to_cur","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"hantro_try_ctrl","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","hantro_drv.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-compat-ioctl32.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","meson-ir.c"
"__vb2_dqbuf","2_SubSystem",3,"v4l_dqbuf, v4l_reqbufs, v4l_streamoff","videobuf2-core.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","ao-cec-g12a.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","mc-device.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","ao-cec.c"
"v4l2_m2m_has_stopped","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_streamoff","v4l2-mem2mem.h"
"cluster_changed","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"update_from_auto_cluster","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-h264.c"
"v4l2_buffer_set_timestamp","3_kernel",3,"v4l_dqbuf, v4l_qbuf, v4l_querybuf","v4l2-common.h"
"set_bit","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_streamon","instrumented-atomic.h"
"dma_buf_put","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_stub_expbuf","dma-buf.h"
"kmalloc_noprof","3_kernel",3,"v4l_qbuf, v4l_streamon, v4l_stub_expbuf","slab.h"
"snprintf","3_kernel",3,"v4l_enum_fmt, v4l_qbuf, v4l_streamon","stdio2.h"
"v4l2_ctrl_type_op_equal","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"sized_strscpy","3_kernel",3,"v4l_enum_fmt, v4l_query_ext_ctrl, v4l_querycap","string.h"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","dvb_ca_en50221.c"
"strcmp","3_kernel",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","string.h"
"dma_alloc_attrs","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_streamon","dma-mapping.h"
"memcmp","3_kernel",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","string.h"
"__warn_printk","3_kernel",3,"v4l_enum_fmt, v4l_qbuf, v4l_streamon","bug.h"
"IS_ERR_OR_NULL","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_stub_expbuf","err.h"
"v4l2_m2m_adjust_mem_offset","2_SubSystem",3,"v4l_dqbuf, v4l_qbuf, v4l_querybuf","v4l2-mem2mem.c"
"bitmap_weight","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_streamon","bitmap.h"
"ERR_PTR","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls","err.h"
"PTR_ERR","3_kernel",3,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls","err.h"
"__compiletime_assert_506","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","objpool.h"
"__verify_planes_array","2_SubSystem",3,"v4l_dqbuf, v4l_qbuf, v4l_querybuf","videobuf2-v4l2.c"
"__fill_v4l2_buffer","2_SubSystem",3,"v4l_dqbuf, v4l_qbuf, v4l_querybuf","videobuf2-v4l2.c"
"is_new_manual","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-priv.h"
"is_cur_manual","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-priv.h"
"try_or_set_cluster","2_SubSystem",3,"v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon","v4l2-ctrls-core.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","meson-ir.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_jpeg.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vdec_vp9_req_lat_if.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-subdev.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","mtk_vcodec_dec_drv.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rcar_fdp1.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","mtk_jpeg_core.c"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","pagemap.h"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-rect.h"
"__compiletime_assert_626","2_SubSystem",2,"v4l_qbuf, v4l_streamon","core.h"
"__compiletime_assert_648","1_Driver",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
"__compiletime_assert_648","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_648","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_648","1_Driver",2,"v4l_qbuf, v4l_streamon","vdec_vp9_if.c"
"__compiletime_assert_648","1_Driver",2,"v4l_qbuf, v4l_streamon","imx8-isi-pipe.c"
"__compiletime_assert_648","1_Driver",2,"v4l_qbuf, v4l_streamon","swap.h"
"__compiletime_assert_648","2_SubSystem",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
"__compiletime_assert_648","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_648","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_648","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vdec_vp9_if.c"
"__compiletime_assert_648","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx8-isi-pipe.c"
"__compiletime_assert_648","2_SubSystem",2,"v4l_qbuf, v4l_streamon","swap.h"
"__compiletime_assert_502","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-compat-ioctl32.c"
"__compiletime_assert_502","2_SubSystem",2,"v4l_qbuf, v4l_streamon","meson-ir.c"
"__compiletime_assert_502","2_SubSystem",2,"v4l_qbuf, v4l_streamon","ao-cec-g12a.c"
"__compiletime_assert_502","2_SubSystem",2,"v4l_qbuf, v4l_streamon","ao-cec.c"
"__compiletime_assert_502","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-h264.c"
"__compiletime_assert_502","2_SubSystem",2,"v4l_qbuf, v4l_streamon","cgroup-defs.h"
"frame_vector_pfns","3_kernel",2,"v4l_qbuf, v4l_reqbufs","frame_vector.h"
"frame_vector_pages","3_kernel",2,"v4l_qbuf, v4l_reqbufs","frame_vector.h"
"frame_vector_count","3_kernel",2,"v4l_qbuf, v4l_reqbufs","frame_vector.h"
"put_vaddr_frames","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","frame_vector.c"
"frame_vector_destroy","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","frame_vector.c"
"vb2_plane_size","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.h"
"vb2_get_plane_payload","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.h"
"vb2_set_plane_payload","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.h"
"vb2_queue_allows_cache_hints","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-core.h"
"vb2_plane_cookie","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.c"
"vb2_plane_vaddr","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.c"
"trace_vb2_buf_queue","3_kernel",2,"v4l_qbuf, v4l_streamon","vb2.h"
"__vb2_queue_cancel","2_SubSystem",2,"v4l_reqbufs, v4l_streamoff","videobuf2-core.c"
"vb2_start_streaming","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.c"
"__enqueue_in_driver","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-core.c"
"__vb2_buf_dmabuf_put","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-core.c"
"__vb2_plane_dmabuf_put","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-core.c"
"vb2_find_buffer","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-v4l2.c"
"vb2_dma_contig_plane_dma_addr","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-dma-contig.h"
"vb2_destroy_framevec","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-memops.c"
"vb2_dc_detach_dmabuf","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-dma-contig.c"
"vb2_dc_unmap_dmabuf","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-dma-contig.c"
"vb2_dc_put_userptr","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-dma-contig.c"
"vb2_dc_vaddr","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-dma-contig.c"
"vb2_dc_cookie","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-dma-contig.c"
"vb2_dma_sg_cookie","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-dma-sg.c"
"vb2_dma_sg_detach_dmabuf","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-dma-sg.c"
"vb2_dma_sg_unmap_dmabuf","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-dma-sg.c"
"vb2_dma_sg_vaddr","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-dma-sg.c"
"vb2_dma_sg_put_userptr","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-dma-sg.c"
"vb2_vmalloc_detach_dmabuf","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-vmalloc.c"
"vb2_vmalloc_unmap_dmabuf","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-vmalloc.c"
"vb2_vmalloc_vaddr","2_SubSystem",2,"v4l_qbuf, v4l_streamon","videobuf2-vmalloc.c"
"vb2_vmalloc_put_userptr","2_SubSystem",2,"v4l_qbuf, v4l_reqbufs","videobuf2-vmalloc.c"
"set_params","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_g1_h264_dec.c"
"set_params","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_g2_hevc_dec.c"
"set_params","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_h264_dec.c"
"set_params","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_g1_h264_dec.c"
"set_params","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_g2_hevc_dec.c"
"set_params","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_h264_dec.c"
"clk_bulk_disable","3_kernel",2,"v4l_qbuf, v4l_streamon","clk.h"
"clk_bulk_enable","3_kernel",2,"v4l_qbuf, v4l_streamon","clk.h"
"media_request_get_by_fd","3_kernel",2,"v4l_qbuf, v4l_s_ext_ctrls","mc-request.c"
"media_request_unlock_for_update","3_kernel",2,"v4l_qbuf, v4l_s_ext_ctrls","media-request.h"
"media_request_lock_for_update","3_kernel",2,"v4l_qbuf, v4l_s_ext_ctrls","media-request.h"
"v4l2_ctrl_request_setup","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-ctrls-request.c"
"v4l2_ctrl_find","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-ctrls-core.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","mxc-jpeg.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","imx7-media-csi.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vsp1_video.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","uvc_isight.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vdec_av1_req_lat_if.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","camss-video.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","venc.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","imx8-isi-crossbar.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-vpu-enc.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","ov5640.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","uvc_ctrl.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_g1_vp8_dec.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_vp8_dec.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vsp1_uif.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vsp1_histo.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vsp1_rwpf.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vpu_helpers.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","mtk_vcodec_dec.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","rzg2l-ip.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","uvc_v4l2.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","imx8-isi-pipe.c"
"__compiletime_assert_628","1_Driver",2,"v4l_qbuf, v4l_streamon","vsp1_brx.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","mxc-jpeg.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx7-media-csi.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vsp1_video.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","uvc_isight.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","j721e-csi2rx.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vdec_av1_req_lat_if.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","camss-video.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","venc.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx8-isi-crossbar.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-vpu-enc.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","ov5640.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","wave5-hw.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","uvc_ctrl.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","hantro_g1_vp8_dec.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rockchip_vpu2_hw_vp8_dec.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vsp1_uif.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vsp1_histo.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vsp1_rwpf.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vpu_helpers.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","mtk_vcodec_dec.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","rzg2l-ip.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","uvc_v4l2.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","imx8-isi-pipe.c"
"__compiletime_assert_628","2_SubSystem",2,"v4l_qbuf, v4l_streamon","vsp1_brx.c"
"pm_runtime_put_autosuspend","3_kernel",2,"v4l_qbuf, v4l_streamon","pm_runtime.h"
"pm_runtime_resume_and_get","3_kernel",2,"v4l_qbuf, v4l_streamon","pm_runtime.h"
"pm_runtime_mark_last_busy","3_kernel",2,"v4l_qbuf, v4l_streamon","pm_runtime.h"
"dma_buf_vunmap_unlocked","3_kernel",2,"v4l_qbuf, v4l_reqbufs","dma-buf.h"
"dma_buf_vmap_unlocked","3_kernel",2,"v4l_qbuf, v4l_streamon","dma-buf.h"
"dma_buf_unmap_attachment_unlocked","3_kernel",2,"v4l_qbuf, v4l_reqbufs","dma-buf.h"
"dma_buf_detach","3_kernel",2,"v4l_qbuf, v4l_reqbufs","dma-buf.h"
"v4l2_m2m_buf_copy_metadata","2_SubSystem",2,"v4l_qbuf, v4l_streamon","v4l2-mem2mem.c"
"hantro_postproc_enable","1_Driver",2,"v4l_qbuf, v4l_streamon","hantro_postproc.c"
"pfn_valid","3_kernel",2,"v4l_qbuf, v4l_reqbufs","mmzone.h"
"scnprintf","3_kernel",2,"v4l_qbuf, v4l_streamon","sprintf.h"
"__cond_resched","3_kernel",2,"v4l_dqbuf, v4l_streamoff","kernel.h"
"__cond_resched","3_kernel",2,"v4l_dqbuf, v4l_streamoff","sched.h"
"find_first_zero_bit","3_kernel",2,"v4l_qbuf, v4l_streamon","find.h"
"find_next_zero_bit","3_kernel",2,"v4l_qbuf, v4l_streamon","find.h"
"find_next_bit","3_kernel",2,"v4l_qbuf, v4l_streamon","find.h"
"finish_wait","3_kernel",2,"v4l_dqbuf, v4l_streamoff","wait.h"
"prepare_to_wait_event","3_kernel",2,"v4l_dqbuf, v4l_streamoff","wait.h"
"init_wait_entry","3_kernel",2,"v4l_dqbuf, v4l_streamoff","wait.h"
"schedule","3_kernel",2,"v4l_dqbuf, v4l_streamoff","sched.h"
"msecs_to_jiffies","3_kernel",2,"v4l_qbuf, v4l_streamon","jiffies.h"
"schedule_delayed_work","3_kernel",2,"v4l_qbuf, v4l_streamon","workqueue.h"
"schedule_work","3_kernel",2,"v4l_qbuf, v4l_streamon","workqueue.h"
"cancel_delayed_work","3_kernel",2,"v4l_qbuf, v4l_streamon","workqueue.h"
"_dev_warn","3_kernel",2,"v4l_qbuf, v4l_streamon","dev_printk.h"
"_dev_err","3_kernel",2,"v4l_reqbufs, v4l_stub_expbuf","dev_printk.h"
"iounmap","3_kernel",2,"v4l_qbuf, v4l_reqbufs","io.h"
"writel_relaxed","3_kernel",2,"v4l_qbuf, v4l_streamon","io.h"
"writel","3_kernel",2,"v4l_qbuf, v4l_streamon","io.h"
"readl","3_kernel",2,"v4l_qbuf, v4l_streamon","io.h"
"set_page_dirty_lock","3_kernel",2,"v4l_qbuf, v4l_reqbufs","mm.h"
"unpin_user_pages","3_kernel",2,"v4l_qbuf, v4l_reqbufs","mm.h"
